Tool_Wear,Depth_of_Cut_ap,Cutting_Speed_vc,Feed_Rate_f,Surface_Roughness_Ra,Resultant Force
0.0,0.25,350,0.13,1.736,102.9727173
0.0,0.25,350,0.13,1.777,102.9727173
0.0,0.25,350,0.13,1.735,102.9727173
0.0,0.25,350,0.07,0.677,72.05219775
0.0,0.25,350,0.07,0.586,72.05219775
0.0,0.25,350,0.07,0.64,72.05219775
0.0,0.25,350,0.07,0.598,72.05219775
0.0,0.25,350,0.07,0.642,72.05219775
0.0,0.25,350,0.07,0.656,72.05219775
0.0,0.25,390,0.13,0.988,103.2976965
0.0,0.25,390,0.13,1.003,103.2976965
0.0,0.25,390,0.13,1.551,103.2976965
0.0,0.25,390,0.13,0.996,103.2976965
0.0,0.25,390,0.13,1.541,103.2976965
0.0,0.25,390,0.13,1.504,103.2976965
0.0,0.25,390,0.1,0.999,87.4736366
0.0,0.25,390,0.1,0.96,87.4736366
0.0,0.25,390,0.1,0.806,87.4736366
0.0,0.25,390,0.1,1.009,87.4736366
0.0,0.25,390,0.1,0.794,87.4736366
0.0,0.25,390,0.1,1.019,87.4736366
0.0,0.25,390,0.07,0.49,72.53731247
0.0,0.25,390,0.07,0.462,72.53731247
0.0,0.25,390,0.07,0.453,72.53731247
0.0,0.25,390,0.07,0.49,72.53731247
0.0,0.25,390,0.07,0.457,72.53731247
0.0,0.25,390,0.07,0.468,72.53731247
0.0,0.25,310,0.1,0.878,88.27652972
0.0,0.25,310,0.1,0.858,88.27652972
0.0,0.25,310,0.1,0.861,88.27652972
0.0,0.25,310,0.1,0.875,88.27652972
0.0,0.25,310,0.1,0.863,88.27652972
0.0,0.25,310,0.1,0.882,88.27652972
0.0,0.25,310,0.13,1.18,105.8095785
0.0,0.25,310,0.13,1.175,105.8095785
0.0,0.25,310,0.13,1.126,105.8095785
0.0,0.25,310,0.13,1.178,105.8095785
0.0,0.25,310,0.13,1.172,105.8095785
0.0,0.25,310,0.13,1.171,105.8095785
0.0,0.25,310,0.07,0.393,73.83535874
0.0,0.25,310,0.07,0.388,73.83535874
0.0,0.25,310,0.07,0.378,73.83535874
0.0,0.25,310,0.07,0.39,73.83535874
0.0,0.25,310,0.07,0.402,73.83535874
0.0,0.25,310,0.07,0.397,73.83535874
0.0,0.5,310,0.1,0.944,172.3023639
0.0,0.5,310,0.1,0.894,172.3023639
0.0,0.5,310,0.1,0.888,172.3023639
0.0,0.5,310,0.1,0.896,172.3023639
0.0,0.5,310,0.1,0.91,172.3023639
0.0,0.5,310,0.1,0.91,172.3023639
0.0,0.5,310,0.13,0.952,213.6122801
0.0,0.5,310,0.13,1.167,213.6122801
0.0,0.5,310,0.13,1.194,213.6122801
0.0,0.5,310,0.13,1.153,213.6122801
0.0,0.5,310,0.13,1.173,213.6122801
0.0,0.5,310,0.13,1.104,213.6122801
0.0,0.5,310,0.07,0.456,139.0259415
0.0,0.5,310,0.07,0.453,139.0259415
0.0,0.5,310,0.07,0.452,139.0259415
0.0,0.5,310,0.07,0.451,139.0259415
0.0,0.5,310,0.07,0.442,139.0259415
0.0,0.5,310,0.07,0.445,139.0259415
0.0,0.5,350,0.13,0.968,212.3495545
0.0,0.5,350,0.13,0.96,212.3495545
0.0,0.5,350,0.13,0.965,212.3495545
0.0,0.5,350,0.13,0.978,212.3495545
0.0,0.5,350,0.13,0.968,212.3495545
0.0,0.5,350,0.13,0.969,212.3495545
0.0,0.5,350,0.1,0.653,174.8189329
0.0,0.5,350,0.1,0.625,174.8189329
0.0,0.5,350,0.1,0.616,174.8189329
0.0,0.5,350,0.1,0.605,174.8189329
0.0,0.5,350,0.1,0.622,174.8189329
0.0,0.5,350,0.1,0.622,174.8189329
0.0,0.5,350,0.07,0.369,141.1545153
0.0,0.5,350,0.07,0.407,141.1545153
0.0,0.5,350,0.07,0.403,141.1545153
0.0,0.5,350,0.07,0.404,141.1545153
0.0,0.5,350,0.07,0.403,141.1545153
0.0,0.5,350,0.07,0.362,141.1545153
0.0,0.5,390,0.07,0.255,145.7688351
0.0,0.5,390,0.07,0.258,145.7688351
0.0,0.5,390,0.07,0.267,145.7688351
0.0,0.5,390,0.07,0.295,145.7688351
0.0,0.5,390,0.07,0.288,145.7688351
0.0,0.5,390,0.07,0.275,145.7688351
0.0,0.5,390,0.1,0.413,175.0071236
0.0,0.5,390,0.1,0.396,175.0071236
0.0,0.5,390,0.1,0.389,175.0071236
0.0,0.5,390,0.1,0.367,175.0071236
0.0,0.5,390,0.1,0.406,175.0071236
0.0,0.5,390,0.1,0.418,175.0071236
0.0,0.5,390,0.13,0.668,209.4208772
0.0,0.5,390,0.13,0.658,209.4208772
0.0,0.5,390,0.13,0.662,209.4208772
0.0,0.5,390,0.13,0.668,209.4208772
0.0,0.5,390,0.13,0.691,209.4208772
0.0,0.5,390,0.13,0.66,209.4208772
0.0,0.8,310,0.1,1.014,328.6716301
0.0,0.8,310,0.1,0.974,328.6716301
0.0,0.8,310,0.1,0.977,328.6716301
0.0,0.8,310,0.1,0.966,328.6716301
0.0,0.8,310,0.1,0.929,328.6716301
0.0,0.8,310,0.1,0.918,328.6716301
0.0,0.8,310,0.07,0.653,214.9654393
0.0,0.8,310,0.07,0.603,214.9654393
0.0,0.8,310,0.07,0.615,214.9654393
0.0,0.8,310,0.07,0.607,214.9654393
0.0,0.8,310,0.07,0.681,214.9654393
0.0,0.8,310,0.07,0.753,214.9654393
0.0,0.8,310,0.13,0.924,377.5725134
0.0,0.8,310,0.13,0.93,377.5725134
0.0,0.8,310,0.13,0.925,377.5725134
0.0,0.8,310,0.13,0.932,377.5725134
0.0,0.8,310,0.13,0.924,377.5725134
0.0,0.8,310,0.13,0.936,377.5725134
0.0,0.8,350,0.07,0.569,221.9222612
0.0,0.8,350,0.07,0.581,221.9222612
0.0,0.8,350,0.07,0.584,221.9222612
0.0,0.8,350,0.07,0.579,221.9222612
0.0,0.8,350,0.07,0.566,221.9222612
0.0,0.8,350,0.07,0.539,221.9222612
0.0,0.8,350,0.13,0.829,374.8763284
0.0,0.8,350,0.13,0.892,374.8763284
0.0,0.8,350,0.13,0.86,374.8763284
0.0,0.8,350,0.13,0.874,374.8763284
0.0,0.8,350,0.13,0.874,374.8763284
0.0,0.8,350,0.13,0.894,374.8763284
0.0,0.8,350,0.1,0.685,331.7784304
0.0,0.8,350,0.1,0.644,331.7784304
0.0,0.8,350,0.1,0.692,331.7784304
0.0,0.8,350,0.1,0.66,331.7784304
0.0,0.8,350,0.1,0.698,331.7784304
0.0,0.8,350,0.1,0.698,331.7784304
0.0,0.8,390,0.07,0.489,224.2323485
0.0,0.8,390,0.07,0.465,224.2323485
0.0,0.8,390,0.07,0.484,224.2323485
0.0,0.8,390,0.07,0.489,224.2323485
0.0,0.8,390,0.07,0.439,224.2323485
0.0,0.8,390,0.07,0.439,224.2323485
0.0,0.8,390,0.13,0.848,372.2234619
0.0,0.8,390,0.13,0.823,372.2234619
0.0,0.8,390,0.13,0.839,372.2234619
0.0,0.8,390,0.13,0.838,372.2234619
0.0,0.8,390,0.13,0.821,372.2234619
0.0,0.8,390,0.13,0.843,372.2234619
0.0,0.8,390,0.1,0.538,334.6406713
0.0,0.8,390,0.1,0.597,334.6406713
0.0,0.8,390,0.1,0.61,334.6406713
0.0,0.8,390,0.1,0.569,334.6406713
0.0,0.8,390,0.1,0.592,334.6406713
0.0,0.8,390,0.1,0.579,334.6406713
0.0,0.25,350,0.13,1.05,105.1602672
0.0,0.25,350,0.13,1.088,105.1602672
0.0,0.25,350,0.13,1.056,105.1602672
0.0,0.25,350,0.13,1.059,105.1602672
0.0,0.25,350,0.13,1.062,105.1602672
0.0,0.25,350,0.13,1.037,105.1602672
0.0,0.25,350,0.09,0.441,86.64839641
0.0,0.25,350,0.09,0.319,86.64839641
0.0,0.25,350,0.09,0.377,86.64839641
0.0,0.25,350,0.09,0.331,86.64839641
0.0,0.25,350,0.09,0.333,86.64839641
0.0,0.25,350,0.09,0.37,86.64839641
0.0,0.25,350,0.11,0.647,94.23170008
0.0,0.25,350,0.11,0.527,94.23170008
0.0,0.25,350,0.11,0.506,94.23170008
0.0,0.25,350,0.11,0.534,94.23170008
0.0,0.25,350,0.11,0.504,94.23170008
0.0,0.25,350,0.11,0.513,94.23170008
0.0,0.25,350,0.13,0.902,104.1024174
0.0,0.25,350,0.13,0.863,104.1024174
0.0,0.25,350,0.13,0.972,104.1024174
0.0,0.25,350,0.13,0.85,104.1024174
0.0,0.25,350,0.13,0.85,104.1024174
0.0,0.25,350,0.13,0.845,104.1024174
0.0,0.25,350,0.07,0.236,73.72504052
0.0,0.25,350,0.07,0.234,73.72504052
0.0,0.25,350,0.07,0.236,73.72504052
0.0,0.25,350,0.07,0.273,73.72504052
0.0,0.25,350,0.07,0.238,73.72504052
0.0,0.25,350,0.07,0.237,73.72504052
0.0,0.25,350,0.09,0.38,84.57431525
0.0,0.25,350,0.09,0.313,84.57431525
0.0,0.25,350,0.09,0.312,84.57431525
0.0,0.25,350,0.09,0.302,84.57431525
0.0,0.25,350,0.09,0.32,84.57431525
0.0,0.25,350,0.09,0.322,84.57431525
0.0,0.25,350,0.07,0.143,75.0593272
0.0,0.25,350,0.07,0.147,75.0593272
0.0,0.25,350,0.07,0.142,75.0593272
0.0,0.25,350,0.07,0.166,75.0593272
0.0,0.25,350,0.07,0.159,75.0593272
0.0,0.25,350,0.07,0.155,75.0593272
0.0,0.25,350,0.11,0.325,95.89733834
0.0,0.25,350,0.11,0.342,95.89733834
0.0,0.25,350,0.11,0.311,95.89733834
0.0,0.25,350,0.11,0.316,95.89733834
0.0,0.25,350,0.11,0.32,95.89733834
0.0,0.25,350,0.11,0.321,95.89733834
0.0,0.5,350,0.13,1.675,205.2571911
0.0,0.5,350,0.13,1.61,205.2571911
0.0,0.5,350,0.13,1.577,205.2571911
0.0,0.5,350,0.13,1.673,205.2571911
0.0,0.5,350,0.13,1.591,205.2571911
0.0,0.5,350,0.13,1.66,205.2571911
0.0,0.5,350,0.11,1.086,182.3738471
0.0,0.5,350,0.11,1.09,182.3738471
0.0,0.5,350,0.11,1.12,182.3738471
0.0,0.5,350,0.11,1.101,182.3738471
0.0,0.5,350,0.11,1.108,182.3738471
0.0,0.5,350,0.11,1.124,182.3738471
0.0,0.5,350,0.09,0.954,156.8016754
0.0,0.5,350,0.09,0.844,156.8016754
0.0,0.5,350,0.09,0.793,156.8016754
0.0,0.5,350,0.09,0.793,156.8016754
0.0,0.5,350,0.09,0.76,156.8016754
0.0,0.5,350,0.09,0.937,156.8016754
0.0,0.5,350,0.11,0.987,185.5480771
0.0,0.5,350,0.11,0.965,185.5480771
0.0,0.5,350,0.11,1.232,185.5480771
0.0,0.5,350,0.11,1.206,185.5480771
0.0,0.5,350,0.11,1.035,185.5480771
0.0,0.5,350,0.11,1.114,185.5480771
0.0,0.5,350,0.07,0.486,132.8872067
0.0,0.5,350,0.07,0.435,132.8872067
0.0,0.5,350,0.07,0.463,132.8872067
0.0,0.5,350,0.07,0.464,132.8872067
0.0,0.5,350,0.07,0.463,132.8872067
0.0,0.5,350,0.07,0.456,132.8872067
0.0,0.5,350,0.09,0.62,158.102863
0.0,0.5,350,0.09,0.62,158.102863
0.0,0.5,350,0.09,0.612,158.102863
0.0,0.5,350,0.09,0.693,158.102863
0.0,0.5,350,0.09,0.613,158.102863
0.0,0.5,350,0.09,0.609,158.102863
0.0,0.5,350,0.13,1.03,208.1211859
0.0,0.5,350,0.13,1.026,208.1211859
0.0,0.5,350,0.13,1.026,208.1211859
0.0,0.5,350,0.13,1.062,208.1211859
0.0,0.5,350,0.13,1.005,208.1211859
0.0,0.5,350,0.13,0.996,208.1211859
0.0,0.5,350,0.07,0.358,139.093924
0.0,0.5,350,0.07,0.349,139.093924
0.0,0.5,350,0.07,0.351,139.093924
0.0,0.5,350,0.07,0.347,139.093924
0.0,0.5,350,0.07,0.327,139.093924
0.0,0.5,350,0.07,0.346,139.093924
0.1,0.25,350,0.11,0.421,166.1373721
0.1,0.25,350,0.11,0.431,166.1373721
0.1,0.25,350,0.11,0.439,166.1373721
0.1,0.25,350,0.11,0.396,166.1373721
0.1,0.25,350,0.11,0.44,166.1373721
0.1,0.25,350,0.11,0.452,166.1373721
0.1,0.25,350,0.11,0.428,164.8238344
0.1,0.25,350,0.11,0.443,164.8238344
0.1,0.25,350,0.11,0.431,164.8238344
0.1,0.25,350,0.11,0.422,164.8238344
0.1,0.25,350,0.11,0.473,164.8238344
0.1,0.25,350,0.11,0.427,164.8238344
0.1,0.25,350,0.07,0.535,116.4755987
0.1,0.25,350,0.07,0.556,116.4755987
0.1,0.25,350,0.07,0.54,116.4755987
0.1,0.25,350,0.07,0.444,116.4755987
0.1,0.25,350,0.07,0.455,116.4755987
0.1,0.25,350,0.07,0.421,116.4755987
0.1,0.25,350,0.13,0.599,166.8948483
0.1,0.25,350,0.13,0.668,166.8948483
0.1,0.25,350,0.13,0.62,166.8948483
0.1,0.25,350,0.13,0.631,166.8948483
0.1,0.25,350,0.13,0.516,166.8948483
0.1,0.25,350,0.13,0.655,166.8948483
0.1,0.25,350,0.13,0.624,164.158979
0.1,0.25,350,0.13,0.571,164.158979
0.1,0.25,350,0.13,0.579,164.158979
0.1,0.25,350,0.13,0.58,164.158979
0.1,0.25,350,0.13,0.58,164.158979
0.1,0.25,350,0.13,0.589,164.158979
0.1,0.25,350,0.09,0.384,124.8498322
0.1,0.25,350,0.09,0.397,124.8498322
0.1,0.25,350,0.09,0.402,124.8498322
0.1,0.25,350,0.09,0.471,124.8498322
0.1,0.25,350,0.09,0.407,124.8498322
0.1,0.25,350,0.09,0.394,124.8498322
0.1,0.25,350,0.07,0.472,108.2313624
0.1,0.25,350,0.07,0.476,108.2313624
0.1,0.25,350,0.07,0.466,108.2313624
0.1,0.25,350,0.07,0.475,108.2313624
0.1,0.25,350,0.07,0.479,108.2313624
0.1,0.25,350,0.07,0.476,108.2313624
0.1,0.25,350,0.09,0.445,124.2716625
0.1,0.25,350,0.09,0.444,124.2716625
0.1,0.25,350,0.09,0.465,124.2716625
0.1,0.25,350,0.09,0.467,124.2716625
0.1,0.25,350,0.09,0.45,124.2716625
0.1,0.25,350,0.09,0.466,124.2716625
0.1,0.5,350,0.09,0.802,202.5399625
0.1,0.5,350,0.09,0.742,202.5399625
0.1,0.5,350,0.09,0.682,202.5399625
0.1,0.5,350,0.09,0.653,202.5399625
0.1,0.5,350,0.09,0.648,202.5399625
0.1,0.5,350,0.09,0.705,202.5399625
0.1,0.5,350,0.07,0.58,166.0952347
0.1,0.5,350,0.07,0.547,166.0952347
0.1,0.5,350,0.07,0.612,166.0952347
0.1,0.5,350,0.07,0.697,166.0952347
0.1,0.5,350,0.07,0.645,166.0952347
0.1,0.5,350,0.07,0.527,166.0952347
0.1,0.5,350,0.13,0.852,236.0210338
0.1,0.5,350,0.13,0.922,236.0210338
0.1,0.5,350,0.13,0.949,236.0210338
0.1,0.5,350,0.13,0.945,236.0210338
0.1,0.5,350,0.13,0.904,236.0210338
0.1,0.5,350,0.13,0.943,236.0210338
0.1,0.5,350,0.13,0.866,237.5381367
0.1,0.5,350,0.13,0.817,237.5381367
0.1,0.5,350,0.13,0.82,237.5381367
0.1,0.5,350,0.13,0.797,237.5381367
0.1,0.5,350,0.13,0.813,237.5381367
0.1,0.5,350,0.13,0.785,237.5381367
0.1,0.5,350,0.11,0.697,211.9528589
0.1,0.5,350,0.11,0.694,211.9528589
0.1,0.5,350,0.11,0.696,211.9528589
0.1,0.5,350,0.11,0.702,211.9528589
0.1,0.5,350,0.11,0.694,211.9528589
0.1,0.5,350,0.11,0.701,211.9528589
0.1,0.5,350,0.07,0.625,157.3575362
0.1,0.5,350,0.07,0.604,157.3575362
0.1,0.5,350,0.07,0.619,157.3575362
0.1,0.5,350,0.07,0.616,157.3575362
0.1,0.5,350,0.07,0.605,157.3575362
0.1,0.5,350,0.07,0.651,157.3575362
0.1,0.5,350,0.09,0.672,182.5282337
0.1,0.5,350,0.09,0.673,182.5282337
0.1,0.5,350,0.09,0.667,182.5282337
0.1,0.5,350,0.09,0.676,182.5282337
0.1,0.5,350,0.09,0.684,182.5282337
0.1,0.5,350,0.09,0.672,182.5282337
0.1,0.5,350,0.11,0.768,207.8886423
0.1,0.5,350,0.11,0.736,207.8886423
0.1,0.5,350,0.11,0.737,207.8886423
0.1,0.5,350,0.11,0.77,207.8886423
0.1,0.5,350,0.11,0.745,207.8886423
0.1,0.5,350,0.11,0.757,207.8886423
0.3,0.25,350,0.07,0.46,245.2786703
0.3,0.25,350,0.07,0.509,245.2786703
